コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,2770.00,2778.00,2753.00,2773.00,22800,63146400
1305-T,ETFTPX,東証,1409.00,1412.00,1407.00,1410.00,157330,221573970
1306-T,TOPIX投,東証,1388.00,1393.00,1386.00,1392.00,1705670,2369849350
1308-T,上場TPX,東証,1376.00,1379.00,1373.00,1377.00,54600,75220000
1309-T,上証50連,東証,25600.00,25850.00,25560.00,25850.00,701,17971260
1310-T,ETF･コア30,東証,628.00,628.00,627.00,627.00,890,558640
1311-T,TOPIX30,東証,638.00,641.00,638.00,640.00,600,383690
1312-T,RN小型コア,東証,16540.00,16590.00,16540.00,16580.00,162,2687330
1313-T,KODEX200,東証,,,,,0,0
1314-T,上場新興,東証,,,,,0,0
1319-T,300投信,東証,207.00,207.00,206.00,206.00,3000,619000
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-T,ETF225,東証,17360.00,17430.00,17350.00,17430.00,38500,669573880
1321-T,225投信,東証,17370.00,17440.00,17360.00,17410.00,216281,3763469570
1322-T,上場パンタ,東証,3565.00,3695.00,3565.00,3650.00,1200,4420900
1323-T,南ア40,東証,299.00,299.00,299.00,299.00,100,29900
1324-T,RTS連動,東証,102.00,102.00,101.00,101.00,16300,1650400
1325-T,ボベスパ,東証,168.00,170.00,168.00,169.00,263400,44385900
1326-T,SPDRゴール,東証,12530.00,12530.00,12490.00,12500.00,2358,29507000
1327-T,EASY商品,東証,2852.00,2852.00,2852.00,2852.00,12,34224
1328-T,金連動,東証,3585.00,3605.00,3585.00,3590.00,2810,10092950
1329-T,iS225,東証,17450.00,17500.00,17450.00,17480.00,10352,181147330
1330-T,上場225,東証,17430.00,17500.00,17410.00,17470.00,73510,1282333100
1332-T,日水,東証1部,450.00,470.00,450.00,467.00,6856400,3174506300
1333-T,マルハニチロ,東証1部,2839.00,2885.00,2828.00,2841.00,968800,2756216600
1343-T,REIT-ETF,東証,1881.00,1898.00,1881.00,1897.00,40390,76238920
1344-T,MXSコア30,東証,610.00,612.00,610.00,610.00,370,225820
1345-T,上場Jリート,東証,1778.00,1795.00,1778.00,1789.00,12200,21777400
1346-T,MXS225,東証,17480.00,17530.00,17440.00,17520.00,21807,381457100
1347-T,上場グリチ,東証,,,,,0,0
1348-T,MXSトピクス,東証,1392.00,1397.00,1391.00,1396.00,29840,41609880
